MetaNeighborUS	EPITHELIAL	TCELL	FIBROBLAST	MACROPHAGE	BCELL	MALIGNANT
clust1	0.666666666666667	0.383333333333333	0.533333333333333	0.166666666666667	0.816666666666667	0.1
clust2	0.75	0.816666666666667	0.283333333333333	0.35	0.466666666666667	0.0833333333333333
clust3	0.733333333333333	0.1	1	0.633333333333333	0.2	0.25
clust4	1	0.466666666666667	0.45	0.816666666666667	0.183333333333333	0.5
clust5	0.816666666666667	0.45	0	1	0.633333333333333	0.433333333333333
clust6	0.3	1	0.366666666666667	0.0833333333333333	0.9	0.266666666666667
clust7	0.483333333333333	0.533333333333333	0.916666666666667	0	0.55	0.516666666666667
