FDRQvalue.P0.01.Q0.25	B_CELLS	DENDRITIC_CELLS	ENDOTHELIAL_CELL	MAST_CELLS	T_CELLS
clust1	NS	NA	NA	0.011880688	NS
clust2	NS	NA	NA	NS	NS
clust3	NS	NA	NA	0.028593404	NS
clust4	NS	NA	NA	0.022897355	NA
clust5	NS	NA	NA	0.010816325	NS
clust6	NS	NA	NS	NS	NA
clust7	NA	NA	NA	NS	NS
clust8	NS	NA	NA	NS	NA
clust9	NS	NA	NA	NS	NS
clust10	NS	NA	NA	NS	NS
clust11	NS	NA	NA	0.02889577	NS
clust12	NS	NS	NA	NS	NA
clust13	NS	NA	NA	0.025033241	NS
clust14	NS	NS	NA	NS	NS
clust15	NS	NA	NA	NS	NA
clust16	NA	NA	NA	NS	NS
clust17	NS	NA	NA	NS	NA
clust18	NS	NA	NA	0.025873989	NA
clust19	NS	NA	NA	0.022738941	NA
clust20	NS	NS	NS	NA	NS
clust21	NS	NA	NA	NS	NS
clust22	NS	NA	NA	NS	NA
clust23	NS	NA	NA	NS	NA
