FDRQvalue.P0.01.Q0.25	B_CELLS	CANCER_CELLS	DENDRITIC_CELLS	ENDOTHELIAL_CELL	FIBROBLASTS	MACROPHAGES	MAST_CELLS	T_CELLS
clust1	NA	NS	NS	NS	NS	NS	NA	NA
clust2	NA	NS	NS	NS	NS	NS	NA	NA
clust3	NA	NS	NS	NS	NS	NS	NA	NA
clust4	NA	NS	NS	NS	NS	NS	NA	NS
clust5	NA	NS	NS	NS	NS	NS	NA	NA
clust6	NA	NS	NS	NA	NS	NS	NA	NS
clust7	NS	NS	NS	NS	NS	NS	NA	NA
clust8	NA	NS	NS	NS	NS	NS	NA	NS
clust9	NA	NS	NS	NS	NS	NS	NA	NA
clust10	NA	NS	NS	NS	NS	NS	NA	NA
clust11	NA	NS	NS	NS	NS	NS	NA	NA
clust12	NA	NS	NA	NS	NS	NS	NA	NS
clust13	NA	NS	NS	NS	NS	NS	NA	NA
clust14	NA	NS	NA	NS	NS	NS	NA	NA
clust15	NA	NS	NS	NS	NS	NS	NA	NS
clust16	NS	NS	NS	NS	NS	NS	NA	NA
clust17	NA	NS	NS	NS	NS	NS	NA	NS
clust18	NA	NS	NS	NS	NS	NS	NA	NS
clust19	NA	NS	NS	NS	NS	NS	NA	NS
clust20	NA	NS	NA	NA	NS	NS	0.13729048	NA
clust21	NA	NS	NS	NS	NS	NS	NA	NA
clust22	NA	NS	NS	NS	NS	NS	NA	NS
clust23	NA	NS	NS	NS	NS	NS	NA	NS
