FDRQvalue.All	B_CELLS	DENDRITIC_CELLS	ENDOTHELIAL_CELL	MAST_CELLS	T_CELLS
clust1	0.21606968	NA	NA	0.011880688	0.9851701
clust2	0.7250729	NA	NA	0.06942535	1.0
clust3	0.2035312	NA	NA	0.028593404	0.8802956
clust4	0.2971211	NA	NA	0.022897355	NA
clust5	0.52336365	NA	NA	0.010816325	0.9769461
clust6	0.7318747	NA	0.9724717	0.13990875	NA
clust7	NA	NA	NA	0.5987384	1.0
clust8	0.14403294	NA	NA	0.06834707	NA
clust9	0.22595417	NA	NA	0.7159784	0.8929426
clust10	0.20113425	NA	NA	0.06628983	0.8542844
clust11	0.23386213	NA	NA	0.02889577	0.750361
clust12	1.0	0.9101996	NA	0.47920516	NA
clust13	0.2932078	NA	NA	0.025033241	0.88621676
clust14	0.12425797	0.8972001	NA	0.2952721	1.0
clust15	0.6010706	NA	NA	0.03753415	NA
clust16	NA	NA	NA	1.0	0.6496383
clust17	0.1464553	NA	NA	0.034832988	NA
clust18	0.21929576	NA	NA	0.025873989	NA
clust19	0.11093351	NA	NA	0.022738941	NA
clust20	0.52458304	1.0	0.9814721	NA	1.0
clust21	0.196655	NA	NA	0.119281344	0.9417838
clust22	0.49334222	NA	NA	0.06091005	NA
clust23	0.73286927	NA	NA	0.04929915	NA
