FDRQvalue.All	ACINAR_CELL	B_CELL	DUCTAL_CELL_TYPE_1	DUCTAL_CELL_TYPE_2	ENDOCRINE_CELL	ENDOTHELIAL_CELL	FIBROBLAST	MACROPHAGE	STELLATE_CELL	T_CELL
clust1	0.63779956	0.0	1.0	1.0	0.9935005	1.0	0.015249992	1.0	0.0	0.0
clust2	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0
clust3	0.34319985	0.0	1.0	1.0	1.0	0.0	0.969002	0.9963339	0.04050005	0.0
clust4	0.37859997	0.0	0.1304997	0.0	1.0	0.99990004	1.0	0.6711659	1.0	0.0
clust5	5.0E-4	0.0	0.0	0.09383306	0.03440005	0.99990004	1.0	1.0	1.0	0.0
clust6	0.5911998	0.0	0.54499996	0.0	1.0	1.0	1.0	1.0	1.0	0.0
clust7	0.0	0.0	1.0	1.0	0.9849012	0.0	1.0	1.0	0.039200056	0.0
clust8	0.3323997	0.0	1.0	1.0	1.0	0.99220073	0.0	1.0	5.0E-4	0.0
clust9	0.0	0.0	0.0	0.121799685	0.1341661	1.0	1.0	1.0	1.0	0.0
clust10	0.66775024	0.0	1.0	1.0	1.0	0.9997	1.0	0.20599951	1.0	0.0
clust11	5.0E-4	0.0	0.0	0.008199997	0.21999902	0.99990004	1.0	0.9388567	1.0	0.0
clust12	0.09479989	0.0	1.0	1.0	1.0	0.9985001	0.0	1.0	0.0035000003	0.0
clust13	0.46866524	0.0	1.0	1.0	0.9579999	0.99990004	1.0	0.6502503	1.0	0.0
clust14	0.0	0.0	0.019249987	0.37083346	0.18519913	0.9998	1.0	1.0	1.0	0.0
clust15	0.013999992	0.0	0.08699994	0.0	1.0	0.99990004	1.0	0.48233354	1.0	0.0
clust16	1.0	0.0	0.12049976	0.0	1.0	1.0	1.0	0.9231993	1.0	0.0
clust17	0.059750132	0.0	0.9526258	0.78228647	1.0	0.99920005	0.001	0.59933275	0.058000136	0.0
clust18	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.09466685	1.0	0.0
clust19	0.22416598	0.0	0.49157074	0.25699863	6.6666666E-4	0.99930006	1.0	0.21859887	1.0	0.0
clust20	1.0	0.0	0.34849894	0.0	1.0	0.9996	1.0	0.68879896	1.0	0.0
clust21	0.0	0.0	0.0	0.59499955	0.29019937	0.6059998	0.9948004	0.5747781	0.63866574	0.0
clust22	0.0012500001	0.0	0.03540005	0.37249988	0.0	0.9998	1.0	1.0	1.0	0.0
clust23	1.0	0.0	1.0	1.0	1.0	0.99990004	1.0	0.0	1.0	0.0
clust24	0.11239981	0.0	1.0	1.0	1.0	0.9915005	0.006499999	0.67649883	3.3333333E-4	0.0
clust25	0.23616599	0.0	1.0	1.0	0.9886009	1.0	0.21099904	6.6666666E-4	5.0E-4	0.0
clust26	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.056000076	1.0	0.0
clust27	0.3435999	0.0	1.0	1.0	1.0	6.6666666E-4	0.97750175	0.58349913	0.089250095	0.0
clust28	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0
clust29	0.05860014	0.0	1.0	0.9511022	0.8585003	0.002	0.563142	0.3893335	0.001	0.0
clust30	0.7846664	0.0	1.0	1.0	1.0	0.0074999984	0.9733018	0.0026666669	0.31579968	0.0
clust31	0.0	0.0	0.0071999985	0.77616596	0.0	1.0	1.0	1.0	1.0	0.0
clust32	0.40699995	0.0	1.0	1.0	0.9966003	1.0	0.019749988	1.0	0.0	0.0
clust33	0.0	0.0	0.0	0.38299996	0.35316664	0.9998	0.95287555	0.972669	0.0040000007	0.0
