ORA.Pval.Uncorrected.cutoff_pos	BCELL	CAF	ENDOTHELIAL	MACROPHAGE	TCELL
clust1	1	1	1	1	0.000136705399863295
clust2	1	1	1	1	0.000136705399863295
clust3	0.000136705399863295	1	1	1	1
clust4	NA	NA	NA	NA	NA
clust5	1	1	1	1	0.000136705399863295
clust6	NA	NA	NA	NA	NA
clust7	1	0.121212121212121	1	1	1
clust8	NA	NA	NA	NA	NA
clust9	1	1	0.47012987012987	0.0025974025974026	1
clust10	1	1	1	1	0.000136705399863295
clust11	1	1	1	1	0.000136705399863295
clust12	1	0.363636363636363	1	1	1
clust13	0.674641148325359	1	1	1	0.000683526999316473
clust14	1	0.619883040935672	0.00649350649350649	1	1
clust15	1	3.12724770929105e-06	1	1	1
clust16	0.000683526999316473	1	1	1	0.674641148325359
